"name","weg","age_of_death","smoothie"
"Xavier 184353","Rzodkiew",97,"TRUE"
"Bugs Bunny 75750","Rzodkiew",92,"TRUE"
"Invisible Woman 198044","Papryka zielona",77,"FALSE"
"Storm 164929","Słodka kukurydza",89,"TRUE"
"Luke Cage 31190","Por",82,"TRUE"
"Blade 194629","Kalarepa",66,"FALSE"
"Hawkeye 7758","Rabarbar",48,"TRUE"
"Genie 24009","Fasola haricot vert",81,"TRUE"
"Thanos 106210","Tymianek",78,"TRUE"
"C-3PO 128439","Czosnek",66,"FALSE"
"Batman 69354","Ogórek",73,"FALSE"
"Quicksilver 22635","Ogórek",100,"FALSE"
"Howard the Duck 143798","Zucchini",86,"FALSE"
"Black Panther 157162","Tymianek",71,"FALSE"
"Olaf 181828","Rzodkiew",81,"FALSE"
"Tweety 51816","Orzech wodny",83,"FALSE"
"Doug Funnie 198939","Chińska kapusta",91,"TRUE"
"Human Torch 15285","Grzyb",64,"TRUE"
"Black Widow 171265","Bazylia tajska",91,"TRUE"
"Helena 64958","Ogórek",74,"TRUE"
"Apocalypse 121731","Rzodkiew daikon",62,"FALSE"
"Dora the Explorer 155411","Pędy bambusa",82,"TRUE"
"Charlie Chaplin 114828","Jicama",68,"FALSE"
"Tinky Winky 155662","Pasternak",90,"FALSE"
"Valeria Richards 74385","Kiełki fasoli",103,"FALSE"
"Captain America 8092","Kale",84,"TRUE"
"Zeus 43142","Pietruszka",90,"TRUE"
"Silver Surfer 16692","Portulaka",71,"TRUE"
"Elsa 178812","Fasola Lima",65,"FALSE"
"Gandalf 112481","Marchew",87,"FALSE"
"Tom and Jerry 82567","Grzyb",72,"FALSE"
"SpongeBob SquarePants 186385","Papryka zielona",55,"TRUE"
"Chewbacca 38952","Kalarepa",72,"FALSE"
"Peter Pan 167821","Słodka kukurydza",100,"FALSE"
"Zeus 58372","Endywia",69,"FALSE"
"Luke Cage 96975","Cebula",69,"FALSE"
"Valeria Richards 100124","Pasternak",84,"FALSE"
"Tweety 105272","Cebula",76,"TRUE"
"Chewbacca 39422","Papryka czerwona",84,"FALSE"
"Simba 115135","Trawa cytrynowa",95,"FALSE"
"Kubuś Puchatek 192683","Korzeń lotosu",60,"FALSE"
"Sylvester 143281","Groch czarnooki",81,"TRUE"
"Asterix 156783","Rukola",63,"TRUE"
"R2-D2 41127","Por",72,"TRUE"
"Ultron 24005","Papryka czerwona",61,"FALSE"
"Czerwony Kapturek 197046","Papryka żółta",84,"FALSE"
"Doug Funnie 152562","Orzech wodny",97,"FALSE"
"Wolverine 170666","Seler",62,"FALSE"
"Jasmine 160459","Groch cukrowy",74,"FALSE"
"Black Widow 180696","Szczypiorek",74,"TRUE"
"Vision 161012","Jarmuż",63,"TRUE"
"Luke Cage 53604","Brzoskwinia",66,"FALSE"
"The Punisher 37813","Kapusta napa",75,"FALSE"
"Spiderman 103903","Fasola Lima",74,"FALSE"
"Elsa 135955","Melon",57,"TRUE"
"Johnny Depp 106572","Brokuł",78,"TRUE"
"Harry Potter 147237","Kukurydza",71,"FALSE"
"Charlie Chaplin 92317","Radicchio",89,"FALSE"
"Mystique 182121","Cykoria",51,"FALSE"
"Jar Jar Binks 25375","Sól morska",79,"FALSE"
"Sabretooth 115185","Papryka czerwona",57,"FALSE"
"Alicja z Krainy Czarów 153179","Fasola żuraw",96,"TRUE"
"R2-D2 28558","Czosnek",70,"TRUE"
"Hades 34207","Kale",77,"FALSE"
"Dipsy 157793","Słodka kukurydza",90,"TRUE"
"The Thing 76581","Koper",68,"FALSE"
"Joker 173768","Rukola",71,"TRUE"
"Daredevil 28574","Sałata",76,"TRUE"
"Asterix 179029","Endywia belgijska",56,"FALSE"
"Victor Von Doom 109849","Fasola Lima",67,"FALSE"
"Iron Fist 165545","Zucchini",52,"FALSE"
"Shuri 105726","Fasola gołębia",92,"TRUE"
"Obelix 106448","Czosnek",78,"FALSE"
"Bruce Lee 148302","Kapusta musztardowa",63,"FALSE"
"Captain America 2473","Sałata",74,"FALSE"
"Rogue 33917","Papryczka chili",79,"TRUE"
"Bishop 65070","Fasolka szparagowa",60,"FALSE"
"Fryderyk Chopin 112706","Groch cukrowy",93,"TRUE"
"Poseidon 67026","Fasola haricot vert",72,"TRUE"
"Charlie Chaplin 51554","Kapusta",78,"FALSE"
"Adam Mickiewicz 162435","Kukurydza",92,"TRUE"
"Okoye 57457","Banan",72,"FALSE"
"Shuri 119344","Cress",83,"TRUE"
"Elsa 214","Kapusta musztardowa",79,"FALSE"
"Bishop 25676","Kapusta",106,"FALSE"
"Ghost Rider 175349","Sałata",64,"FALSE"
"Anna 189244","Korzeń lotosu",84,"FALSE"
"Dipsy 41396","Dynia kabocha",63,"TRUE"
"Xavier 105449","Ogórek",79,"TRUE"
"Baron Zemo 30818","Zucchini",84,"FALSE"
"Harry Potter 93523","Brukselka",63,"TRUE"
"Blade 142919","Bataty",63,"FALSE"
"Chewbacca 148959","Pietruszka",48,"TRUE"
"Lady Deathstrike 163558","Papryka czerwona",70,"FALSE"
"Babcia Ela 177885","Brokuł",86,"FALSE"
"Rogue 166960","Marchew",62,"FALSE"
"Indiana Jones 57532","Wodna cress",63,"FALSE"
"Jessica Jones 39702","Pietruszka",106,"TRUE"
"DarekTakiTam 136770","Chrzan",99,"TRUE"
"Ariel 165115","Cykoria",72,"TRUE"
"Gamora 79923","Burak liściowy",80,"FALSE"
"Human Torch 9405","Trawa cytrynowa",59,"TRUE"
"Jafar 7448","Zucchini",100,"TRUE"
"Daffy Duck 175640","Szparagi",52,"FALSE"
"Aladyn 44833","Burak liściowy",60,"FALSE"
"Goofy 83486","Endywia belgijska",95,"TRUE"
"Iron Man 118007","Kapusta",73,"TRUE"
"Elvis Presley 191534","Brzoskwinia",76,"TRUE"
"Aragorn 101225","Ogórek",91,"FALSE"
"Human Torch 150579","Cebula",88,"TRUE"
"Drax 32646","Koper",89,"TRUE"
"Cable 117309","Rzepak",87,"TRUE"
"Harry Potter 3961","Fasola mung",72,"FALSE"
"Maria 70965","Papryczka chili",70,"FALSE"
"Sandy Cheeks 141626","Żółta cukinia",70,"TRUE"
"Omega Red 110136","Chayote",89,"TRUE"
"Dipsy 65418","Seler korzeniowy",55,"FALSE"
"Fryderyk Chopin 13049","Czosnek",73,"FALSE"
"Jean Grey 182757","Rukola",87,"TRUE"
"Marilyn Monroe 138946","Marchew",77,"FALSE"
"Babcia Ela 141588","Pędy bambusa",88,"FALSE"
"Professor X 170735","Pietruszka",66,"TRUE"
"Goofy 32537","Kalarepa",72,"FALSE"
"Leia Organa 30762","Melon",86,"TRUE"
"The Punisher 7786","Jarmuż",68,"TRUE"
"Bilbo Baggins 140152","Fasola zwykła",89,"TRUE"
"Jim Morrison 62232","Cukier trzcinowy",82,"TRUE"
"Beast 115145","Brzoskwinia",77,"TRUE"
"Struś Pędziwiatr 98882","Kard",76,"TRUE"
"Winter Soldier 111109","Sałata",105,"FALSE"
"Charlie Chaplin 137582","Kalarepa",78,"FALSE"
"Nick Fury 17949","Tymianek",82,"FALSE"
"Sven 145079","Rzodkiew",55,"FALSE"
"Howard the Duck 115425","Chińska kapusta",80,"TRUE"
"Hercules 15506","Kolendra",71,"TRUE"
"Snoop Dogg 71991","Rzodkiew daikon",96,"FALSE"
"Magneto 156819","Kiełki fasoli",79,"TRUE"
"Twjózek 88562","Groch czarnooki",58,"FALSE"
"Po 15375","Orzech wodny",85,"FALSE"
"Thanos 157245","Brukselka",45,"FALSE"
"Tweety 10956","Kapusta napa",63,"FALSE"
"Jean Grey 123734","Seler korzeniowy",97,"TRUE"
"Cable 86303","Kapusta napa",83,"TRUE"
"Daredevil 142644","Lufa",78,"TRUE"
"Winnie the Pooh 191070","Kapusta musztardowa",63,"FALSE"
"Mickey Mouse 58444","Papryka czerwona",86,"TRUE"
"BB-8 25110","Portulaka",96,"FALSE"
"Indiana Jones 3621","Cykoria",73,"TRUE"
"Struś Pędziwiatr 24276","Chrzan",51,"TRUE"
"Deadpool 42834","Koper",101,"TRUE"
"Yoda 107951","Sorrel",85,"TRUE"
"Luke Cage 71708","Czosnek",64,"FALSE"
"Beast 191703","Koper włoski",73,"FALSE"
"Iron Man 184813","Pędy groszku",101,"TRUE"
"Okoye 78778","Fasola żuraw",92,"TRUE"
"Dora the Explorer 57286","Mâche",81,"TRUE"
"Thanos 97710","Papryka zielona",71,"FALSE"
"Luke Skywalker 16896","Cebula dymka",110,"FALSE"
"Cable 134995","Szpinak",74,"TRUE"
"Alicja z Krainy Czarów 127320","Ogórek",73,"TRUE"
"Laa-Laa 159505","Groch czarnooki",61,"FALSE"
"Beast 117470","Burak",63,"TRUE"
"Bob Budowniczy 1708","Fasola mung",81,"FALSE"
"Red Skull 71969","Sałata rzymska",83,"TRUE"
"Jessica Jones 30598","Seler",91,"FALSE"
"Dora the Explorer 5692","Szpinak",83,"FALSE"
"Mr. Krabs 179787","Papryka żółta",66,"TRUE"
"Pablo Escabar 115844","Małe marchewki",57,"TRUE"
"Sabretooth 26303","Burak liściowy",91,"TRUE"
"Drax 181273","Koper",76,"TRUE"
"Jafar 40555","Fasola adzuki",82,"TRUE"
"Howard the Duck 64091","Cykoria",83,"FALSE"
"Chuckie Finster 49511","Endywia",52,"FALSE"
"Struś Pędziwiatr 54261","Sałata rzymska",77,"TRUE"
"Black Widow 70775","Endywia belgijska",120,"FALSE"
"Poseidon 54402","Papryka",63,"FALSE"
"Ant-Man 30799","Rabarbar",63,"TRUE"
"DarekTakiTam 48483","Pietruszka",70,"TRUE"
"Steve 117124","Burak liściowy",101,"FALSE"
"Phoenix 32117","Liście mniszka",80,"FALSE"
"Psylocke 173291","Pędy groszku",81,"FALSE"
"Beast 145104","Por",94,"TRUE"
"Aragorn 19130","Jabłko",98,"TRUE"
"Cable 29154","Orzech wodny",79,"TRUE"
"Galactus 67558","Endywia belgijska",84,"TRUE"
"Groot 161601","Chrzan",69,"TRUE"
"Maria 20862","Ogórek",90,"TRUE"
"Spiderman 108903","Por",107,"TRUE"
"Joker 4993","Cykoria",84,"FALSE"
"Król Julian 122085","Liście mniszka",79,"FALSE"
"Madonna 26125","Lufa",75,"TRUE"
"Domino 67041","Groch cukrowy",103,"TRUE"
"Dora the Explorer 174749","Fasolka szparagowa",95,"FALSE"
"Bob Budowniczy 134154","Kiełki fasoli",67,"TRUE"
"Diego 83373","Mniszek lekarski",78,"TRUE"
"Hades 146788","Mâche",77,"TRUE"
"Tinky Winky 21124","Bazylia tajska",70,"FALSE"
"Victor Von Doom 79482","Arbuz",88,"TRUE"
"Alicja z Krainy Czarów 120521","Mniszek lekarski",64,"FALSE"
"Leonardo da Vinci 41724","Pędy groszku",45,"FALSE"
"Wasp 10160","Dynia kabocha",56,"TRUE"
"Tommy Pickles 12685","Endywia belgijska",68,"FALSE"
"Storm 105118","Pędy bambusa",51,"FALSE"
"Domino 7765","Papryka żółta",72,"TRUE"
"Dipsy 21711","Burak liściowy",76,"FALSE"
"Darth Maul 126244","Kalarepa",79,"FALSE"
"Dora the Explorer 31794","Kiełki fasoli",77,"TRUE"
"Rogue 168153","Kapusta musztardowa",85,"FALSE"
"Snoop Dogg 143589","Fasola mung",96,"FALSE"
"Cyclops 24555","Mâche",73,"TRUE"
"SpongeBob SquarePants 432","Papryka żółta",90,"TRUE"
"Silver Surfer 195783","Mniszek lekarski",64,"FALSE"
"Hades 120297","Fasola adzuki",91,"FALSE"
"Jean Grey 49036","Groch czarnooki",88,"FALSE"
"DarekTakiTam 22817","Dynia kabocha",82,"FALSE"
"Galactus 8532","Seler korzeniowy",98,"FALSE"
"Galactus 74504","Kalafior",73,"TRUE"
"Madonna 24508","Marchew",84,"TRUE"
"Bugs Bunny 32783","Rukola",56,"TRUE"
"Marta Żmuda-Trzebiatowska 174252","Bazylia tajska",71,"FALSE"
"Gollum 193977","Fasola adzuki",77,"FALSE"
"The Punisher 124542","Dynia kabocha",52,"TRUE"
"Rogue 59569","Pędy bambusa",77,"TRUE"
"Invisible Woman 150256","Żółta cukinia",54,"FALSE"
"Simba 107866","Fenkuł",64,"FALSE"
"Kubuś Puchatek 189082","Sól morska",71,"FALSE"
"Simba 90039","Zucchini",52,"FALSE"
"Sabretooth 160541","Bazylia tajska",70,"FALSE"
"Doug Funnie 148046","Chińska kapusta",76,"TRUE"
"Sherlock Holmes 100387","Fasola Lima",64,"FALSE"
"BB-8 196703","Rukola",83,"FALSE"
"Harry Potter 59556","Groch czarnooki",91,"FALSE"
"Daffy Duck 34182","Grzyb",57,"FALSE"
"Robin Hood 113937","Kalarepa",94,"TRUE"
"Jim Morrison 130005","Jicama",53,"FALSE"
"Struś Pędziwiatr 175782","Czosnek",42,"TRUE"
"Kuba Wojewódzki 194308","Pasternak",83,"FALSE"
"Elvis Presley 127769","Endywia belgijska",89,"TRUE"
"Doctor Doom 29091","Pomidor",72,"FALSE"
"The Vision 83933","Szpinak",94,"TRUE"
"Bugs Bunny 27078","Kukurydza",91,"FALSE"
"Iron Man 171858","Grzyb",87,"FALSE"
"Juliusz Słowacki 153316","Brokuł",84,"FALSE"
"Rocket Raccoon 127626","Groch cukrowy",75,"FALSE"
"Król Julian 107274","Fasola gołębia",82,"TRUE"
"Pablo Escabar 191355","Papryczka chili",83,"TRUE"
"Doug Funnie 124421","Kapusta musztardowa",86,"TRUE"
"Drax 84330","Rabarbar",91,"FALSE"
"Quicksilver 45307","Mniszek lekarski",52,"TRUE"
"Mufasa 43035","Fasola Lima",75,"FALSE"
"Król Julian 54252","Papryka",71,"FALSE"
"The Punisher 102367","Burak liściowy",77,"FALSE"
"Gollum 74564","Orzech wodny",87,"FALSE"
"War Machine 23985","Jabłko",80,"FALSE"
"Joker 185439","Tymianek",74,"FALSE"
"Shuri 35729","Lufa",71,"FALSE"
"Victor Von Doom 58698","Zucchini",63,"FALSE"
"Cyclops 199848","Papryka zielona",95,"TRUE"
"James Bond 137887","Orzech wodny",87,"TRUE"
"Deadpool 42063","Cebula",81,"TRUE"
"Tweety 131936","Rzepak",76,"TRUE"
"The Thing 92135","Trawa cytrynowa",78,"TRUE"
"Helena 31808","Groch czarnooki",75,"TRUE"
"Pablo Escabar 128228","Grzyb",86,"FALSE"
"Dr Watson 25538","Papryka",42,"TRUE"
"Gandalf 196940","Ogórek melona",47,"FALSE"
"Johnny Depp 13092","Fasola Lima",92,"TRUE"
"DarekTakiTam 13819","Brokuł",61,"FALSE"
"Vision 68784","Cukier trzcinowy",58,"FALSE"
"Angelica Pickles 191474","Arbuz",57,"FALSE"
"Quicksilver 75795","Papryczka chili",77,"TRUE"
"Hulk 69554","Papryka",72,"FALSE"
"Dr Watson 196016","Sól morska",82,"TRUE"
"Yoda 2734","Grzyb",80,"FALSE"
"Po 95311","Seler",68,"TRUE"
"Tweety 23696","Fasola mung",67,"TRUE"
"Han Solo 33522","Szczypiorek",80,"TRUE"
"Omega Red 195023","Trawa cytrynowa",70,"TRUE"
"Blade 87678","Koper",91,"TRUE"
"Tupac Shakur 90488","Korzeń taro",53,"FALSE"
"Baron Zemo 187795","Imbir",78,"TRUE"
"Tommy Pickles 21816","Cress",89,"TRUE"
"Joker 177500","Pędy groszku",101,"FALSE"
"Maria 54438","Marchew",89,"TRUE"
"Babcia Ela 34569","Korzeń lotosu",103,"TRUE"
"Thor 120748","Groch cukrowy",76,"FALSE"
"Dr Watson 100094","Cukier trzcinowy",82,"TRUE"
"Luke Cage 172489","Sałata",64,"FALSE"
"Tupac Shakur 42398","Papryczka chili",69,"TRUE"
"R2-D2 51896","Koper",86,"FALSE"
"Elvis Presley 101430","Pędy groszku",66,"FALSE"
"The Punisher 128008","Endywia belgijska",75,"TRUE"
"Bugs Bunny 122521","Chińska kapusta",67,"FALSE"
"Struś Pędziwiatr 12797","Sól morska",119,"TRUE"
"Po 184762","Papryka",88,"TRUE"
"The Vision 88503","Kapusta napa",89,"FALSE"
"BB-8 28287","Szpinak",71,"TRUE"
"Elvis Presley 114965","Kapusta napa",81,"TRUE"
"Erik Killmonger 155696","Papryka czerwona",110,"TRUE"
"Moana 46849","Szpinak",50,"TRUE"
"She-Hulk 86255","Ogórek",93,"TRUE"
"Victor Von Doom 65722","Chayote",94,"FALSE"
"Królewna Śnieżka 78013","Papryczka chili",71,"TRUE"
"Juliusz Słowacki 162078","Jarmuż",69,"TRUE"
"Cezary Pazura 134594","Żółta cukinia",61,"TRUE"
"Franklin Richards 10584","Sałata",80,"TRUE"
"Gollum 59279","Orzech wodny",75,"FALSE"
"Iron Man 78481","Burak",111,"TRUE"
"Babcia Ela 192348","Papryka czerwona",109,"FALSE"
"Black Panther 34580","Orzech wodny",35,"TRUE"
"Black Widow 146840","Endywia belgijska",75,"FALSE"
"Marta Żmuda-Trzebiatowska 194408","Czosnek",75,"TRUE"
"Chewbacca 66797","Brukselka",74,"TRUE"
"Swiper 111861","Jicama",73,"FALSE"
"Helena 158819","Rzepak",75,"FALSE"
"Lara Croft 143209","Imbir",71,"FALSE"
"Sherlock Holmes 43460","Fenkuł",66,"TRUE"
"Ariel 18723","Koper włoski",79,"FALSE"
"Blade 5161","Por",82,"TRUE"
"Black Widow 91663","Fasola mung",85,"FALSE"
"Star-Lord 24910","Dynia kabocha",67,"TRUE"
"Maria 184634","Ziemniak",80,"TRUE"
"Robin Hood 48745","Ziemniak",77,"FALSE"
"Ghost Rider 16556","Sałata",74,"TRUE"
"Dora the Explorer 48045","Szpinak",87,"TRUE"
"Doug Funnie 157202","Grzyb",69,"TRUE"
"War Machine 5062","Kalafior",107,"FALSE"
"Kubuś Puchatek 132791","Papryka zielona",58,"TRUE"
"Barack Obama 162852","Brukselka",92,"TRUE"
"War Machine 137459","Liście mniszka",61,"FALSE"
"Kang the Conqueror 112016","Kard",63,"FALSE"
"Aladyn 141358","Cukinia",72,"TRUE"
"Koziołek Matołek 160115","Jicama",68,"TRUE"
"The Thing 10538","Fasola zwykła",55,"TRUE"
"Goofy 136425","Endywia",78,"FALSE"
"Steve 193414","Pędy bambusa",81,"FALSE"
"Phoenix 150505","Grzyb",59,"TRUE"
"Mickey Mouse 105018","Zucchini",63,"TRUE"
"Blues Clues 166171","Wodna cress",81,"TRUE"
"Bugs Bunny 11544","Rzodkiew",82,"FALSE"
"Mufasa 156264","Pędy bambusa",71,"FALSE"
"Legolas 64536","Rukola",55,"TRUE"
"Ghost Rider 155477","Fasola adzuki",85,"TRUE"
"Asterix 7075","Chińska kapusta",72,"FALSE"
"Kubuś Puchatek 8166","Rzodkiew daikon",70,"TRUE"
"Baron Zemo 148398","Papryka czerwona",94,"TRUE"
"Red Skull 17272","Sól morska",89,"TRUE"
"Johnny Depp 150319","Kalarepa",86,"TRUE"
"Mr. Fantastic 144642","Endywia belgijska",61,"FALSE"
"Drake 59878","Korzeń lotosu",90,"TRUE"
"Joe 172118","Marchew",83,"TRUE"
"Bugs Bunny 51889","Kapusta napa",95,"TRUE"
"Johnny Depp 61286","Portulaka",100,"FALSE"
"Quicksilver 96036","Liście mniszka",71,"FALSE"
"Bishop 185118","Endywia",76,"FALSE"
"Luke Cage 73273","Jarmuż",71,"TRUE"
"Genie 197328","Brokuł",116,"FALSE"
"Goofy 74176","Papryka czerwona",32,"FALSE"
"Wasp 36851","Koper",89,"TRUE"
"James Bond 127796","Fenkuł",62,"TRUE"
"Daredevil 131051","Seler",90,"FALSE"
"Kang the Conqueror 69159","Kapusta musztardowa",75,"TRUE"
"Maria 162286","Endywia",74,"FALSE"
"Falcon 107472","Tymianek",95,"FALSE"
"Doctor Strange 99294","Kalafior",82,"FALSE"
"Black Widow 34669","Sorrel",65,"TRUE"
"Boots 9744","Cress",57,"FALSE"
"Aladyn 116088","Endywia",89,"TRUE"
"Drax 8333","Bazylia tajska",92,"FALSE"
"Ursula 183691","Sałata",96,"FALSE"
"Thor 56918","Seler",78,"TRUE"
"Vision 72603","Cress",69,"TRUE"
"R2-D2 121075","Rukola",86,"FALSE"
"Franklin Richards 35189","Orzech wodny",82,"FALSE"
"Johnny Depp 157887","Bakłażan",68,"TRUE"
"Legolas 174385","Endywia",106,"FALSE"
"Ultron 89160","Cukinia",40,"FALSE"
"Bruce Lee 194661","Burak liściowy",93,"FALSE"
"Mr. Fantastic 191656","Fasola mung",70,"FALSE"
"C-3PO 103211","Pędy groszku",83,"FALSE"
"Peter Pan 57662","Seler",78,"TRUE"
"Thor 82181","Jicama",110,"TRUE"
"Drake 66837","Endywia",62,"FALSE"
"Apocalypse 96861","Brokuł",92,"TRUE"
"Genie 130737","Fasola adzuki",51,"FALSE"
"Snoop Dogg 83667","Burak",99,"TRUE"
"Okoye 14753","Kiełki fasoli",76,"TRUE"
"Hulk 60658","Seler korzeniowy",82,"TRUE"
"Taskmaster 159764","Kapusta napa",57,"FALSE"
"Captain America 155859","Kapusta napa",81,"TRUE"
"Okoye 187078","Trawa cytrynowa",73,"TRUE"
"Bugs Bunny 184048","Fasola adzuki",59,"FALSE"
"Howard the Duck 75192","Sól morska",72,"FALSE"
"Drake 112782","Kapusta napa",84,"FALSE"
"Zeus 95598","Jarmuż",84,"TRUE"
"Valeria Richards 159197","Korzeń taro",76,"FALSE"
"Deadpool 55207","Zucchini",67,"FALSE"
"Wolverine 58139","Seler",102,"TRUE"
"Robin Hood 52277","Sałata rzymska",71,"TRUE"
"Hades 149807","Cukier trzcinowy",78,"TRUE"
"Franklin Richards 150750","Cukinia",73,"FALSE"
"Legolas 122555","Burak",99,"TRUE"
"Nightcrawler 52982","Mâche",71,"TRUE"
"Sylvester 137104","Papryka",66,"FALSE"
"Groot 77415","Brzoskwinia",77,"FALSE"
"Taskmaster 83826","Rukiew wodna",97,"TRUE"
"James Bond 83197","Papryka żółta",86,"TRUE"
"Superman 192614","Radicchio",63,"FALSE"
"Baron Zemo 155003","Fasolka szparagowa",79,"TRUE"
"Shrek 150513","Rzodkiew daikon",70,"FALSE"
"Rogue 168335","Cress",72,"TRUE"
"Tom and Jerry 58675","Żółta cukinia",65,"TRUE"
"Professor X 144107","Cebula dymka",86,"TRUE"
"Jar Jar Binks 64021","Bakłażan",58,"TRUE"
"Gamora 36463","Jicama",60,"FALSE"
"Oliver Hardy 12169","Czosnek",94,"FALSE"
"Jafar 173090","Korzeń lotosu",79,"FALSE"
"Angelica Pickles 74420","Bazylia tajska",66,"FALSE"
"Goofy 64941","Rzodkiew daikon",94,"FALSE"
"Charlie Chaplin 148495","Fasola mung",54,"TRUE"
"Fryderyk Chopin 45684","Koper włoski",74,"TRUE"
"Doctor Strange 58658","Endywia",62,"TRUE"
"Poseidon 47167","Pędy groszku",66,"FALSE"
"Drake 22728","Dynia kabocha",85,"FALSE"
"Struś Pędziwiatr 34246","Brzoskwinia",70,"TRUE"
"Robin Hood 159670","Radicchio",88,"TRUE"
"Jean Grey 155188","Kolendra",89,"FALSE"
"Rapunzel 35935","Pietruszka",82,"TRUE"
"Hercules 110168","Melon",75,"FALSE"
"Bob Budowniczy 153678","Fasola adzuki",56,"FALSE"
"Dr Watson 156711","Grzyb",75,"FALSE"
"Juliusz Słowacki 82802","Koper włoski",79,"FALSE"
"Sabretooth 21844","Szparagi",81,"TRUE"
"Pablo Escabar 40801","Szczypiorek",77,"TRUE"
"Ghost Rider 39150","Fasola Lima",75,"TRUE"
"Phoenix 46098","Cebula dymka",87,"TRUE"
"Kojot Wile E. 192107","Fasola adzuki",78,"TRUE"
"Aladyn 195915","Ogórek",52,"FALSE"
"Sven 160615","Chrzan",72,"TRUE"
"Boots 10497","Kale",92,"FALSE"
"Barack Obama 177228","Kapusta napa",75,"FALSE"
"Struś Pędziwiatr 3870","Fasolka szparagowa",44,"TRUE"
"Winter Soldier 164154","Dynia kabocha",77,"TRUE"
"Marta Żmuda-Trzebiatowska 117814","Portulaka",80,"TRUE"
"Ghost Rider 68285","Szpinak",71,"FALSE"
"Vision 6008","Rukola",110,"FALSE"
"Baron Zemo 156192","Orzech wodny",72,"TRUE"
"Kojot Wile E. 10716","Fasola żuraw",68,"TRUE"
"Królewna Śnieżka 78665","Endywia belgijska",80,"TRUE"
"Simba 123834","Pietruszka",80,"TRUE"
"Cable 122578","Brzoskwinia",46,"TRUE"
"Mickey Mouse 88043","Kukurydza",87,"TRUE"
"BB-8 122600","Sorrel",56,"TRUE"
"Jasmine 167845","Cebula",101,"TRUE"
"Jar Jar Binks 83934","Fasola adzuki",88,"FALSE"
"Tupac Shakur 164221","Rabarbar",78,"FALSE"
"Ursula 132668","Pędy bambusa",76,"TRUE"
"DarekTakiTam 740","Jicama",76,"TRUE"
"Sylvester 122667","Czosnek",84,"FALSE"
"Lady Deathstrike 183607","Kapusta napa",82,"TRUE"
"Bugs Bunny 85376","Banan",66,"TRUE"
"Winnie the Pooh 174262","Groch czarnooki",112,"FALSE"
"Galactus 66790","Kale",103,"TRUE"
"Shuri 73933","Czosnek",84,"TRUE"
"Bishop 33955","Papryczka chili",80,"FALSE"
"Kubuś Puchatek 49419","Fasolka szparagowa",80,"TRUE"
"Ultron 166195","Groch czarnooki",97,"FALSE"
"Jessica Jones 175492","Papryka",70,"FALSE"
"Bruce Lee 104199","Kapusta musztardowa",64,"TRUE"
"Domino 56430","Jarmuż",82,"FALSE"
"Professor X 170925","Chrzan",90,"TRUE"
"Bishop 84243","Fasola Lima",91,"FALSE"
"Sauron 164190","Fasolka szparagowa",84,"FALSE"
"Mickey Mouse 82526","Kukurydza",78,"FALSE"
"Madonna 171102","Dynia kabocha",75,"FALSE"
"Papa Smerf 156292","Kalarepa",77,"FALSE"
"Moana 171686","Pasternak",86,"TRUE"
"Chuckie Finster 172799","Papryka czerwona",69,"FALSE"
"Dr Watson 186695","Liście mniszka",79,"TRUE"
"Silver Surfer 24831","Pasternak",80,"FALSE"
"Frodo Baggins 153405","Arbuz",82,"TRUE"
"Colossus 74338","Szczypiorek",74,"TRUE"
"Daffy Duck 96365","Koper",69,"TRUE"
"Storm 44413","Cukier trzcinowy",80,"FALSE"
"Fryderyk Chopin 71124","Brzoskwinia",82,"FALSE"
"Shuri 188847","Orzech wodny",68,"FALSE"
"Psylocke 94669","Kalarepa",71,"TRUE"
"Domino 155136","Chayote",84,"TRUE"
"Myszka Miki 24659","Rzodkiew daikon",60,"TRUE"
"Hulk 161134","Cebula dymka",67,"FALSE"
"Doctor Doom 35625","Rzepak",69,"FALSE"
"Wasp 144705","Trawa cytrynowa",81,"TRUE"
"Howard the Duck 104544","Kapusta",68,"TRUE"
"Joe 64392","Fasola gołębia",67,"FALSE"
"Franklin Richards 164052","Koper włoski",86,"TRUE"
"Scarlet Witch 172725","Korzeń lotosu",82,"TRUE"
"Sylvester 84788","Korzeń lotosu",73,"TRUE"
"Kubuś Puchatek 116280","Taro",88,"FALSE"
"Patrick Star 122149","Endywia belgijska",73,"FALSE"
"Snoop Dogg 116475","Bazylia tajska",80,"TRUE"
"Kang the Conqueror 29811","Endywia belgijska",72,"TRUE"
"Phoenix 166953","Sól morska",86,"TRUE"
"Silver Surfer 168462","Chińska kapusta",65,"FALSE"
"Aladyn 49588","Sól morska",93,"FALSE"
"Ultron 50087","Bataty",42,"FALSE"
"Bilbo Baggins 191027","Karczoch",72,"FALSE"
"She-Hulk 17190","Brokuł",98,"FALSE"
"Peter Pan 141928","Bazylia tajska",68,"TRUE"
"Bugs Bunny 162440","Chińska kapusta",75,"FALSE"
"Captain America 153646","Ziemniak",75,"FALSE"
"Tinky Winky 136894","Fasola mung",76,"TRUE"
"Shuri 99516","Karczoch",80,"TRUE"
"Gamora 46004","Chrzan",78,"TRUE"
"Babcia Ela 114320","Endywia",79,"FALSE"
"Yoda 132071","Rzepak",83,"TRUE"
"Cable 146403","Bataty",71,"FALSE"
"Joker 90298","Fasola gołębia",79,"TRUE"
"BB-8 54822","Brukselka",56,"FALSE"
